sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,StateofUtah_Choice1,StateofUtah_Choice2,StateofUtah_Choice3,StateofUtah_Choice4,StateofUtah_Choice5,StateofUtah_Choice6,StateofUtah_Choice7,StateofUtah_Choice8,StateofUtah_Choice9,StateofUtah_Choice10,StateofUtah_Choice11,StateofUtah_Choice12,StateofUtah_Choice13,StateofUtah_Choice14,StateofUtah_Choice15,WorkplacePerks_1,WorkplacePerks_2,WorkplacePerks_3,WorkplacePerks_4,WorkplacePerks_5,Zip,Gender,Dependents,Education,Age,workExperience,effectivelyServes,employmentOpportunities,benefits,StateofUtah_Fit,Salary_10% below industry average_Rescaled_Utility,Salary_Industry average_Rescaled_Utility,Salary_10% above industry average_Rescaled_Utility,Flexability_100% on-site hours 0% work at home_Rescaled_Utility,Flexability_75% on-site hours 25% work at home_Rescaled_Utility,Flexability_50% on-site hours 50% work at home_Rescaled_Utility,Flexability_25% on-site hours 75% work at home_Rescaled_Utility,Core_Health Care_Rescaled_Utility,Core_Company Retirement Plan_Rescaled_Utility,Core_Personal sick/vacation leave_Rescaled_Utility,Perks_Childcare credit_Rescaled_Utility,Perks_Tuition assistance_Rescaled_Utility,Perks_Paid parental/family leave_Rescaled_Utility,Perks_Paid professional develop_Rescaled_Utility,Stability_High Stability_Rescaled_Utility,Stability_Low Stability_Rescaled_Utility,Growth_High Growth_Rescaled_Utility,Growth_Low Growth_Rescaled_Utility,Salary_Importance,Flexability_Importance,Core_Importance,Perks_Importance,Stability_Importance,Growth_Importance
12,10 Feb 2020 - 20:32:11 MST,10 Feb 2020 - 20:40:22 MST,0h 8m 11s,0h 8m 9s,1581391931,1581392422,1,5,,Terminate1,1,,Mobile 15E148,,414,,2,2,2,3,2,1,3,2,2,1,1,1,2,3,2,4,3,2,1,,84020,2,2,3,1,1,3,1,1,0.551705798,-96.37318995,-12.05897894,108.4321689,-90.9393759,-5.711579587,66.05144466,30.59951082,-26.35244715,-3.162387662,29.51483481,-0.864522294,-19.89646677,16.67592783,4.085061232,53.14176484,-53.14176484,19.74030719,-19.74030719,0.341342265,0.261651368,0.093112137,0.060953991,0.177139216,0.065801024
13,10 Feb 2020 - 20:38:01 MST,10 Feb 2020 - 20:51:56 MST,0h 13m 55s,0h 13m 54s,1581392281,1581393116,1,2,,Age,1,,Mobile 15E148,,375,,3,3,3,1,1,2,1,3,3,2,1,3,1,1,1,3,2,1,4,,90024,1,2,3,,,,,,0.617380063,-88.29208859,31.78138226,56.51070633,-24.8024459,12.52534082,-10.34986703,22.62697211,39.78625101,-2.205859496,-37.58039151,58.57036309,-34.11627599,-24.40011978,-0.053967324,80.26442113,-80.26442113,38.59283161,-38.59283161,0.241337992,0.07904903,0.128944404,0.154477732,0.26754807,0.128642772
14,10 Feb 2020 - 20:43:55 MST,10 Feb 2020 - 20:53:18 MST,0h 9m 23s,0h 9m 17s,1581392635,1581393198,1,5,,Terminate1,1,Android 10,Chrome 80.0.3987.87,,412,,2,3,3,3,3,1,3,3,2,1,1,2,2,3,1,4,3,2,1,,84020,2,2,3,1,1,3,1,1,0.516060631,-108.6208833,23.26213713,85.35874614,-13.08598667,-54.1371502,1.879994586,65.34314229,4.548788551,22.58614063,-27.13492918,7.489869135,-25.06335978,-24.00016947,41.57366011,31.58982938,-31.58982938,53.50116482,-53.50116482,0.323299382,0.199133821,0.08286845,0.1110617,0.105299431,0.178337216
15,10 Feb 2020 - 20:44:13 MST,10 Feb 2020 - 20:49:00 MST,0h 4m 47s,0h 4m 45s,1581392653,1581392940,1,5,,Terminate1,1,,Mobile 15E148,,414,,3,1,1,3,1,3,3,2,3,1,3,1,3,1,2,1,2,4,3,,84065,2,1,4,2,2,3,1,1,0.466712387,-89.99685627,28.56652444,61.43033183,43.66772769,22.08138772,-24.99308392,-40.75603149,11.33574574,-98.21262718,86.87688144,-16.37697237,39.44581164,-19.04276409,-4.02607519,42.26933473,-42.26933473,18.01614946,-18.01614946,0.252378647,0.140706265,0.308482514,0.09748096,0.140897782,0.060053832
16,10 Feb 2020 - 20:45:28 MST,10 Feb 2020 - 20:45:28 MST,0h 0m 0s,0h 0m 0s,1581392728,1581392728,1,2,,Text1,1,,Mobile 15E148,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10 Feb 2020 - 20:46:31 MST,10 Feb 2020 - 20:53:20 MST,0h 6m 49s,0h 6m 48s,1581392791,1581393200,1,5,,Terminate1,1,Android 10,Chrome 79.0.3945.136,,412,,1,3,2,1,3,2,2,2,2,1,3,1,1,3,1,4,1,3,2,,84106,2,2,1,1,1,3,1,1,0.615330805,-70.11240025,-0.873267821,70.98566807,-21.66638361,13.50080733,37.73623258,-29.57065631,-28.40707159,7.257062524,21.15000906,-20.48507442,3.539698557,-10.69943529,27.64481115,102.3561413,-102.3561413,44.59789695,-44.59789695,0.235163447,0.112178148,0.082595134,0.080216476,0.341187138,0.148659657
18,10 Feb 2020 - 20:49:30 MST,10 Feb 2020 - 21:03:16 MST,0h 13m 46s,0h 13m 41s,1581392970,1581393796,1,5,,Terminate1,1,Android 9,Chrome 80.0.3987.87,,360,,1,1,3,2,3,2,3,2,2,1,2,2,2,2,2,3,2,4,1,,84020,2,2,5,4,2,2,1,1,0.589444964,-54.88126027,-20.5397298,75.42099008,-77.72408655,-15.55979969,51.63484281,41.64904342,19.5315146,-20.11304678,0.581532183,-37.3762392,8.123362644,-25.73808299,54.99095955,52.1496812,-52.1496812,52.01384889,-52.01384889,0.217170417,0.215598216,0.066074269,0.153945331,0.173832271,0.173379496
19,10 Feb 2020 - 20:49:41 MST,10 Feb 2020 - 20:49:41 MST,0h 0m 0s,0h 0m 0s,1581392981,1581392981,1,2,,Text1,1,Android 10,Chrome 80.0.3987.87,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10 Feb 2020 - 20:49:47 MST,10 Feb 2020 - 20:49:47 MST,0h 0m 0s,0h 0m 0s,1581392987,1581392987,1,2,,Text1,1,Android 10,Chrome 80.0.3987.87,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10 Feb 2020 - 20:50:44 MST,10 Feb 2020 - 20:50:44 MST,0h 0m 0s,0h 0m 0s,1581393044,1581393044,1,2,,Text1,1,,HTTPClient 1.0,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10 Feb 2020 - 20:51:17 MST,10 Feb 2020 - 20:51:17 MST,0h 0m 0s,0h 0m 0s,1581393077,1581393077,1,2,,Text1,1,Android 10,Chrome 80.0.3987.87,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10 Feb 2020 - 20:51:20 MST,10 Feb 2020 - 20:53:58 MST,0h 2m 38s,0h 2m 36s,1581393080,1581393238,1,2,,StateofUtah_Choice9,1,Android 10,Chrome 79.0.3945.136,,412,,3,2,3,3,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10 Feb 2020 - 20:51:28 MST,10 Feb 2020 - 20:51:31 MST,0h 0m 3s,0h 0m 2s,1581393088,1581393091,1,2,,StateofUtah_Choice1,1,,Safari 604.1,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10 Feb 2020 - 20:51:29 MST,10 Feb 2020 - 20:59:06 MST,0h 7m 37s,0h 7m 33s,1581393089,1581393546,1,5,,Terminate1,1,Android 10,Chrome 80.0.3987.87,,412,,1,2,2,3,1,2,1,3,2,3,1,3,3,2,1,3,1,4,2,,84321,2,2,3,1,1,3,1,1,0.546384127,-33.884603,1.385795011,32.49880799,35.26724911,-73.83219103,37.78318687,0.781755047,52.38298546,14.24953989,-66.63252535,-18.33743192,-33.50829911,-2.255715124,54.10144616,78.09394234,-78.09394234,29.59403518,-29.59403518,0.110639018,0.18602563,0.198359185,0.146016242,0.260313141,0.098646784
26,10 Feb 2020 - 20:52:08 MST,10 Feb 2020 - 20:52:08 MST,0h 0m 0s,0h 0m 0s,1581393128,1581393128,1,2,,Text1,1,Linux,Firefox 24.0,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10 Feb 2020 - 20:52:09 MST,10 Feb 2020 - 20:52:09 MST,0h 0m 0s,0h 0m 0s,1581393129,1581393129,1,2,,Text1,1,Linux,Firefox 24.0,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10 Feb 2020 - 20:52:16 MST,10 Feb 2020 - 20:52:16 MST,0h 0m 0s,0h 0m 0s,1581393136,1581393136,1,2,,Text1,1,Mac OS X 10.11.1,Safari 9.0.1,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10 Feb 2020 - 20:52:19 MST,10 Feb 2020 - 20:58:43 MST,0h 6m 24s,0h 6m 22s,1581393139,1581393523,1,5,,Terminate1,1,Android 9,Chrome 71.0.3578.99,,360,,3,3,2,3,1,1,2,1,2,2,2,2,3,2,2,4,3,1,2,,84111,2,2,3,1,1,1,1,1,0.560454207,-34.01337588,-28.30546425,62.31884013,-11.93815741,14.61268337,-7.726313283,5.051787328,37.11657911,-64.46530988,27.34873077,-82.15103983,112.1543058,16.23572324,-46.23898922,63.37470942,-63.37470942,27.24014487,-27.24014487,0.160553693,0.044251401,0.169303148,0.323842243,0.211249031,0.090800483
30,10 Feb 2020 - 20:52:21 MST,10 Feb 2020 - 21:00:36 MST,0h 8m 15s,0h 8m 12s,1581393141,1581393636,1,5,,Terminate1,1,Mac OS X 10.15.3,Safari 13.0.5,,1440,,3,2,1,3,1,3,3,3,2,1,1,2,2,2,3,3,2,4,1,,84088,2,2,3,1,1,1,2,2,0.488065353,-57.43454363,21.48145997,35.95308366,0.533020192,12.50893692,-6.549563409,-6.4923937,50.28933438,-34.88852604,-15.40080834,-31.72610448,-46.90602996,64.02074568,14.61138876,85.21359264,-85.21359264,60.51102553,-60.51102553,0.155646045,0.031764167,0.141963101,0.184877959,0.284045309,0.201703418
31,10 Feb 2020 - 20:52:41 MST,10 Feb 2020 - 20:52:41 MST,0h 0m 0s,0h 0m 0s,1581393161,1581393161,1,2,,Text1,1,Mac OS X 10.11.1,Safari 9.0.1,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10 Feb 2020 - 20:52:44 MST,10 Feb 2020 - 20:57:54 MST,0h 5m 10s,0h 5m 7s,1581393164,1581393474,1,5,,Terminate1,1,,Safari 604.1,,414,,2,2,3,2,3,1,3,2,1,1,1,2,1,3,1,1,2,4,3,,84660,2,2,3,1,2,2,1,2,0.61668333,-53.52306685,9.877030274,43.64603658,-50.32245723,16.4266678,-35.3417161,69.23750553,13.83364947,-30.37499109,16.54134162,52.44661814,-33.17943258,-6.542821354,-12.72436421,74.3652975,-74.3652975,50.99897769,-50.99897769,0.161948506,0.199266605,0.078193888,0.142710085,0.247884325,0.169996592
33,10 Feb 2020 - 20:52:45 MST,10 Feb 2020 - 20:52:45 MST,0h 0m 0s,0h 0m 0s,1581393165,1581393165,1,2,,Text1,1,Mac OS X 10.11.1,Safari 9.0.1,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,10 Feb 2020 - 20:52:47 MST,10 Feb 2020 - 20:58:34 MST,0h 5m 47s,0h 5m 45s,1581393167,1581393514,1,5,,Terminate1,1,Mac OS X 10.14.1,Chrome 78.0.3904.108,,1440,,3,1,3,3,1,1,1,2,2,3,2,2,3,1,3,2,1,3,4,,84124,2,2,3,1,1,1,1,1,0.534851219,-55.09686194,4.473777183,50.62308476,1.140216831,-68.71806833,62.39659684,5.181254655,22.41691492,-13.70660447,-8.710310444,38.8601289,-28.48718043,53.74152663,-64.1144751,76.2652766,-76.2652766,28.3276569,-28.3276569,0.176199911,0.218524442,0.060205866,0.19642667,0.254217589,0.094425523
35,10 Feb 2020 - 20:52:47 MST,10 Feb 2020 - 20:52:47 MST,0h 0m 0s,0h 0m 0s,1581393167,1581393167,1,2,,Text1,1,Linux,Chrome 56.0.2924.87,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10 Feb 2020 - 20:52:48 MST,10 Feb 2020 - 21:04:18 MST,0h 11m 30s,0h 11m 27s,1581393168,1581393858,1,5,,Terminate1,1,,Safari 604.1,,414,,1,1,2,3,2,3,3,2,1,2,2,1,3,2,2,3,2,1,4,,84065,2,2,3,1,2,1,2,2,0.589792818,-55.60979388,2.843657084,52.7661368,-17.91150954,-55.52223481,-10.17092113,83.60466548,26.32490783,-14.5274901,-11.79741773,-14.34622792,8.04496354,30.63147202,-24.33020765,63.30771186,-63.30771186,65.03383385,-65.03383385,0.180626551,0.231878167,0.06808733,0.091602799,0.211025706,0.216779446
37,10 Feb 2020 - 20:52:55 MST,10 Feb 2020 - 20:52:55 MST,0h 0m 0s,0h 0m 0s,1581393175,1581393175,1,2,,Text1,1,Mac OS X 10.11.1,Safari 9.0.1,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10 Feb 2020 - 20:52:59 MST,10 Feb 2020 - 20:59:03 MST,0h 6m 4s,0h 6m 0s,1581393179,1581393543,1,5,,Terminate1,1,,Safari 604.1,,375,,3,1,3,2,2,2,3,3,3,3,2,1,3,3,2,2,1,3,4,,84095,2,2,4,1,1,3,1,2,0.467402931,-108.3468727,17.44017936,90.90669339,-30.02147253,78.19791877,25.09563323,-73.27207946,56.26727538,-17.95033654,-38.31693884,20.8217607,12.73375409,3.471157889,-37.02667268,23.94428042,-23.94428042,24.4776136,-24.4776136,0.332089277,0.252449997,0.157640357,0.096414056,0.079814268,0.081592045
39,10 Feb 2020 - 20:53:07 MST,10 Feb 2020 - 20:58:10 MST,0h 5m 3s,0h 5m 0s,1581393187,1581393490,1,5,,Terminate1,1,Android 9,Chrome 79.0.3945.136,,360,,1,3,1,3,1,1,3,2,3,2,3,3,2,1,3,3,1,4,2,,84129,1,2,3,1,1,1,1,1,0.595767831,-66.8149826,-6.116585859,72.93156846,-24.60417511,16.07584559,24.92693441,-16.39860489,17.56162036,8.95610283,-26.51772319,2.291875999,-53.60821866,25.03069036,26.2856523,67.27647895,-67.27647895,76.09808351,-76.09808351,0.232910918,0.082551849,0.073465573,0.133156452,0.22425493,0.253660278
40,10 Feb 2020 - 20:53:32 MST,10 Feb 2020 - 20:53:32 MST,0h 0m 0s,0h 0m 0s,1581393212,1581393212,1,2,,Text1,1,,Mobile 15E148,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10 Feb 2020 - 20:53:35 MST,10 Feb 2020 - 20:57:37 MST,0h 4m 2s,0h 4m 1s,1581393215,1581393457,1,5,,Terminate1,1,,Safari 604.1,,375,,1,3,2,1,3,2,1,1,1,1,3,1,3,2,1,3,1,4,2,,84111,1,2,3,1,1,3,2,1,0.275403443,-28.2810871,8.030173903,20.2509132,66.49171455,-156.3956659,40.53660824,49.36734311,-31.40022747,-6.899022128,38.2992496,-28.53758906,-26.8314415,-38.34997467,93.71900523,-20.07767498,20.07767498,43.32840616,-43.32840616,0.080886667,0.371478967,0.116165795,0.220114967,0.066925583,0.144428021
42,10 Feb 2020 - 20:54:29 MST,10 Feb 2020 - 21:00:02 MST,0h 5m 33s,0h 5m 30s,1581393269,1581393602,1,5,,Terminate1,1,,Safari 604.1,,375,,1,2,2,1,3,3,2,3,2,1,3,1,2,3,2,2,1,4,3,,84112,2,2,3,1,1,1,2,1,0.331309153,-25.94309527,-13.49350079,39.43659606,-36.88721032,-47.10743885,90.26510938,-6.270460206,-14.10970311,-15.50353292,29.61323603,22.50570747,-92.25080299,118.2341242,-48.48902869,61.88953045,-61.88953045,-8.933501694,8.933501694,0.108966152,0.228954247,0.075194615,0.350808212,0.206298435,0.029778339
43,10 Feb 2020 - 20:56:00 MST,10 Feb 2020 - 20:56:09 MST,0h 0m 9s,0h 0m 8s,1581393360,1581393369,1,2,,StateofUtah_Choice1,1,,Mobile 15E148,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,10 Feb 2020 - 20:57:43 MST,10 Feb 2020 - 20:57:43 MST,0h 0m 0s,0h 0m 0s,1581393463,1581393463,1,2,,Text1,1,Mac OS X 10.11.1,Safari 9.0.1,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10 Feb 2020 - 20:57:59 MST,11 Feb 2020 - 18:47:22 MST,21h 49m 23s,21h 49m 21s,1581393479,1581472042,1,5,,Terminate1,1,,Safari 604.1,,375,,1,1,3,3,1,3,2,3,2,1,3,3,1,2,1,3,4,2,1,,84096,1,2,3,1,1,3,1,1,0.62764057,-66.2896711,29.72515782,36.56451329,-45.65290725,21.8798902,-14.78443655,38.55745359,2.319086441,-11.03755012,8.718463677,-21.52116878,2.189813341,-12.70460501,32.03596045,118.4455305,-118.4455305,51.36562535,-51.36562535,0.171423641,0.140350601,0.03292669,0.089261882,0.394818435,0.171218751
46,10 Feb 2020 - 21:00:38 MST,10 Feb 2020 - 21:10:28 MST,0h 9m 50s,0h 9m 48s,1581393638,1581394228,1,5,,Terminate1,1,Android 9,Chrome 71.0.3578.99,,360,,3,2,3,2,2,1,3,2,2,3,1,3,2,2,2,4,1,3,2,,84112,2,2,3,1,1,3,1,1,0.611459859,-81.80295388,-10.82495629,92.62791017,-22.7915019,18.59385491,29.86723752,-25.66959053,4.859409889,21.91942555,-26.77883544,-3.759375079,-2.721627222,2.449836737,4.031165563,109.3930885,-109.3930885,47.37866466,-47.37866466,0.290718107,0.09256138,0.081163768,0.012984234,0.364643628,0.157928882
47,10 Feb 2020 - 21:01:51 MST,10 Feb 2020 - 21:02:02 MST,0h 0m 11s,0h 0m 10s,1581393711,1581393722,1,2,,StateofUtah_Choice1,1,,Mobile 15E148,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,10 Feb 2020 - 21:09:50 MST,10 Feb 2020 - 21:10:49 MST,0h 0m 59s,0h 0m 58s,1581394190,1581394249,1,2,,StateofUtah_Choice2,1,,Safari 604.1,,375,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,10 Feb 2020 - 21:12:37 MST,10 Feb 2020 - 21:14:02 MST,0h 1m 25s,0h 1m 22s,1581394357,1581394442,1,2,,StateofUtah_Choice5,1,,Safari 604.1,,414,,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,10 Feb 2020 - 21:15:13 MST,10 Feb 2020 - 21:15:13 MST,0h 0m 0s,0h 0m 0s,1581394513,1581394513,1,2,,Text1,1,Linux,Firefox 24.0,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,10 Feb 2020 - 21:15:13 MST,10 Feb 2020 - 21:15:13 MST,0h 0m 0s,0h 0m 0s,1581394513,1581394513,1,2,,Text1,1,Linux,Firefox 24.0,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,10 Feb 2020 - 21:15:14 MST,10 Feb 2020 - 21:20:45 MST,0h 5m 31s,0h 5m 27s,1581394514,1581394845,1,5,,Terminate1,1,Android 9,Chrome 71.0.3578.99,,412,,3,3,2,1,2,3,1,1,3,2,1,3,2,1,1,3,2,1,4,,84123,2,2,4,1,1,3,2,2,0.500235101,13.86646082,11.50778489,-25.37424571,43.28572219,35.83512717,14.74462349,-93.86547285,20.61105097,-8.99591054,-11.61514043,-51.422868,42.61293733,-14.93457886,23.74450953,78.4716233,-78.4716233,70.20142756,-70.20142756,0.065401178,0.228585325,0.053710319,0.156726342,0.261572078,0.234004759
53,10 Feb 2020 - 21:16:21 MST,10 Feb 2020 - 21:21:34 MST,0h 5m 13s,0h 5m 42s,1581394581,1581394894,1,5,,Terminate1,1,,Safari 604.1,,414,,1,3,2,2,1,2,3,3,2,1,3,3,1,3,2,4,2,1,3,,84098,1,2,3,1,2,3,1,1,0.427221995,-77.52447482,1.176872998,76.34760182,-33.74123912,-3.201490571,45.75846582,-8.815736127,37.25646999,-68.09496611,30.83849613,-39.6573081,50.5728209,56.61509035,-67.53060314,40.88989933,-40.88989933,27.67564508,-27.67564508,0.256453461,0.132499508,0.175585727,0.206909489,0.136299664,0.09225215
54,10 Feb 2020 - 21:16:35 MST,10 Feb 2020 - 21:16:36 MST,0h 0m 1s,0h 0m 0s,1581394595,1581394596,1,2,,Text1,1,Mac OS X 10.11.1,Safari 9.0.1,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,10 Feb 2020 - 21:16:42 MST,10 Feb 2020 - 21:17:54 MST,0h 1m 12s,0h 1m 11s,1581394602,1581394674,1,2,,StateofUtah_Choice3,1,,Safari 604.1,,375,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
